device;data_consumption;data_time;data_period;tag;main_category_name;sub_category_name;type;client_id
11d97b50-daf7-11ee-ac3e-85b8c3abc334;469;2024-03-05T15:07:26.000Z;3;cold;Bathroom;Flush;ws;18
11da4960-daf7-11ee-a71f-9b7fa292542a;556;2024-03-05T15:07:31.000Z;5;cold;Bathroom;Sink;ws;18
11d9e340-daf7-11ee-a3c3-f51ff845e206;200;2024-03-05T15:07:35.000Z;3;cold;Bathroom;Tap;ws;18
11d8f4c0-daf7-11ee-a0e3-b13db69913ac;1181;2024-03-05T19:22:16.000Z;9;cold;Bathroom;Sink;ws;18
11d8a970-daf7-11ee-b288-f5d6bb92dfd4;875;2024-03-05T19:26:19.000Z;7;cold;Bathroom;Tap;ws;18
11d85810-daf7-11ee-b658-695385a245c5;2133;2024-03-05T19:26:51.000Z;29;cold;Bathroom;Flush;ws;18
11da4960-daf7-11ee-a71f-9b7fa292542a;1150;2024-03-05T19:27:27.000Z;10;cold;Bathroom;Sink;ws;18
11d97b50-daf7-11ee-ac3e-85b8c3abc334;96;2024-03-05T19:27:32.000Z;11;cold;Bathroom;Flush;ws;18
11d9e340-daf7-11ee-a3c3-f51ff845e206;687;2024-03-05T19:28:54.000Z;9;cold;Bathroom;Tap;ws;18
11d97b50-daf7-11ee-ac3e-85b8c3abc334;4993;2024-03-05T19:30:02.000Z;62;cold;Bathroom;Flush;ws;18
11d8f4c0-daf7-11ee-a0e3-b13db69913ac;633;2024-03-05T19:30:23.000Z;9;cold;Bathroom;Sink;ws;18
11d85810-daf7-11ee-b658-695385a245c5;4718;2024-03-05T19:31:12.000Z;59;cold;Bathroom;Flush;ws;18
11da4960-daf7-11ee-a71f-9b7fa292542a;875;2024-03-05T19:37:23.000Z;8;cold;Bathroom;Sink;ws;18
11d8f4c0-daf7-11ee-a0e3-b13db69913ac;786;2024-03-05T19:37:35.000Z;7;cold;Bathroom;Sink;ws;18
11da4960-daf7-11ee-a71f-9b7fa292542a;1100;2024-03-05T19:40:03.000Z;10;cold;Bathroom;Sink;ws;18
11da4960-daf7-11ee-a71f-9b7fa292542a;1787;2024-03-05T19:40:54.000Z;14;cold;Bathroom;Sink;ws;18
11d7eb90-daf7-11ee-a649-f9227cd29f6a;262;2024-03-05T14:57:20.000Z;4;cold;Bathroom;Sink;ws;18
11d8f4c0-daf7-11ee-a0e3-b13db69913ac;565;2024-03-05T14:57:32.000Z;4;cold;Bathroom;Sink;ws;18
11d85810-daf7-11ee-b658-695385a245c5;545;2024-03-05T14:57:39.000Z;3;cold;Bathroom;Flush;ws;18
11d8a970-daf7-11ee-b288-f5d6bb92dfd4;346;2024-03-05T14:57:47.000Z;5;cold;Bathroom;Tap;ws;18
11d97b50-daf7-11ee-ac3e-85b8c3abc334;478;2024-03-05T14:58:18.000Z;4;cold;Bathroom;Flush;ws;18
11da4960-daf7-11ee-a71f-9b7fa292542a;743;2024-03-05T14:58:23.000Z;4;cold;Bathroom;Sink;ws;18
11d9e340-daf7-11ee-a3c3-f51ff845e206;471;2024-03-05T14:58:32.000Z;4;cold;Bathroom;Tap;ws;18
11d9e340-daf7-11ee-a3c3-f51ff845e206;1104;2024-03-06T06:13:37.000Z;15;cold;Bathroom;Tap;ws;18
11d97b50-daf7-11ee-ac3e-85b8c3abc334;5509;2024-03-06T06:15:12.000Z;72;cold;Bathroom;Flush;ws;18
11d9e340-daf7-11ee-a3c3-f51ff845e206;5948;2024-03-06T07:28:43.000Z;42;cold;Bathroom;Tap;ws;18
11da4960-daf7-11ee-a71f-9b7fa292542a;218;2024-03-06T07:33:01.000Z;24;cold;Bathroom;Sink;ws;18
11d9e340-daf7-11ee-a3c3-f51ff845e206;5842;2024-03-06T07:33:11.000Z;40;cold;Bathroom;Tap;ws;18
11d9e340-daf7-11ee-a3c3-f51ff845e206;2051;2024-03-06T07:52:29.000Z;15;cold;Bathroom;Tap;ws;18
11da4960-daf7-11ee-a71f-9b7fa292542a;751;2024-03-06T07:53:18.000Z;10;cold;Bathroom;Sink;ws;18
11d9e340-daf7-11ee-a3c3-f51ff845e206;1999;2024-03-06T07:53:24.000Z;18;cold;Bathroom;Tap;ws;18
11d97b50-daf7-11ee-ac3e-85b8c3abc334;5386;2024-03-06T07:54:39.000Z;63;cold;Bathroom;Flush;ws;18
11d97b50-daf7-11ee-ac3e-85b8c3abc334;5404;2024-03-06T08:00:19.000Z;64;cold;Bathroom;Flush;ws;18
11d9e340-daf7-11ee-a3c3-f51ff845e206;2374;2024-03-06T08:04:09.000Z;28;cold;Bathroom;Tap;ws;18
11d9e340-daf7-11ee-a3c3-f51ff845e206;533;2024-03-06T08:04:32.000Z;6;cold;Bathroom;Tap;ws;18
11d97b50-daf7-11ee-ac3e-85b8c3abc334;8163;2024-03-06T08:06:36.000Z;100;cold;Bathroom;Flush;ws;18
11da4960-daf7-11ee-a71f-9b7fa292542a;954;2024-03-06T08:20:55.000Z;13;cold;Bathroom;Sink;ws;18
11d97b50-daf7-11ee-ac3e-85b8c3abc334;5175;2024-03-06T08:21:01.000Z;68;cold;Bathroom;Flush;ws;18
11da4960-daf7-11ee-a71f-9b7fa292542a;1254;2024-03-06T08:21:28.000Z;11;cold;Bathroom;Sink;ws;18
11da4960-daf7-11ee-a71f-9b7fa292542a;271;2024-03-06T08:22:15.000Z;4;cold;Bathroom;Sink;ws;18
11d85810-daf7-11ee-b658-695385a245c5;4700;2024-03-06T08:23:32.000Z;59;cold;Bathroom;Flush;ws;18
11d8f4c0-daf7-11ee-a0e3-b13db69913ac;513;2024-03-06T08:25:31.000Z;10;cold;Bathroom;Sink;ws;18
11d8a970-daf7-11ee-b288-f5d6bb92dfd4;4718;2024-03-06T08:25:44.000Z;53;cold;Bathroom;Tap;ws;18
11d8f4c0-daf7-11ee-a0e3-b13db69913ac;160;2024-03-06T08:28:06.000Z;4;cold;Bathroom;Sink;ws;18
11d8a970-daf7-11ee-b288-f5d6bb92dfd4;5118;2024-03-06T08:28:23.000Z;32;cold;Bathroom;Tap;ws;18
11d85810-daf7-11ee-b658-695385a245c5;4795;2024-03-06T08:33:09.000Z;61;cold;Bathroom;Flush;ws;18
11d8a970-daf7-11ee-b288-f5d6bb92dfd4;2334;2024-03-06T08:38:49.000Z;18;cold;Bathroom;Tap;ws;18
11da4960-daf7-11ee-a71f-9b7fa292542a;409;2024-03-06T08:40:22.000Z;16;cold;Bathroom;Sink;ws;18
11da4960-daf7-11ee-a71f-9b7fa292542a;166;2024-03-06T08:40:55.000Z;10;cold;Bathroom;Sink;ws;18
11d85810-daf7-11ee-b658-695385a245c5;5010;2024-03-06T08:41:02.000Z;84;cold;Bathroom;Flush;ws;18
11d85810-daf7-11ee-b658-695385a245c5;4590;2024-03-06T08:46:43.000Z;68;cold;Bathroom;Flush;ws;18
11da4960-daf7-11ee-a71f-9b7fa292542a;1060;2024-03-06T08:56:00.000Z;11;cold;Bathroom;Sink;ws;18
11da4960-daf7-11ee-a71f-9b7fa292542a;1068;2024-03-06T08:56:42.000Z;12;cold;Bathroom;Sink;ws;18
11d97b50-daf7-11ee-ac3e-85b8c3abc334;4919;2024-03-06T08:59:12.000Z;76;cold;Bathroom;Flush;ws;18
11d8f4c0-daf7-11ee-a0e3-b13db69913ac;1150;2024-03-06T08:59:57.000Z;13;cold;Bathroom;Sink;ws;18
11d9e340-daf7-11ee-a3c3-f51ff845e206;765;2024-03-06T09:01:05.000Z;12;cold;Bathroom;Tap;ws;18
11d97b50-daf7-11ee-ac3e-85b8c3abc334;5418;2024-03-06T09:01:09.000Z;84;cold;Bathroom;Flush;ws;18
11d97b50-daf7-11ee-ac3e-85b8c3abc334;8616;2024-03-06T09:04:04.000Z;124;cold;Bathroom;Flush;ws;18
11d8f4c0-daf7-11ee-a0e3-b13db69913ac;984;2024-03-06T09:07:49.000Z;11;cold;Bathroom;Sink;ws;18
11d9e340-daf7-11ee-a3c3-f51ff845e206;796;2024-03-06T09:23:00.000Z;9;cold;Bathroom;Tap;ws;18
11d8a970-daf7-11ee-b288-f5d6bb92dfd4;1172;2024-03-06T09:23:44.000Z;13;cold;Bathroom;Tap;ws;18
11d8f4c0-daf7-11ee-a0e3-b13db69913ac;639;2024-03-06T09:25:03.000Z;17;cold;Bathroom;Sink;ws;18
